City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Puerto Ayora,EC,-0.74,-90.35,75.2,69,20,17.22,few clouds
120,Norman Wells,CA,65.28,-126.83,-2.2,84,75,0.63,broken clouds
121,Socorro,US,31.65,-106.3,84.2,9,5,17.22,clear sky
122,Dikson,RU,73.51,80.55,-0.54,91,0,4.12,clear sky
123,Nirmal,IN,19.1,78.35,64.24,53,0,2.93,clear sky
124,Huarmey,PE,-10.07,-78.15,66.04,72,0,8.72,clear sky
125,Los Llanos De Aridane,ES,28.66,-17.92,68.0,60,20,5.82,few clouds
126,Mossendjo,CG,-2.95,12.73,69.49,97,100,0.98,overcast clouds
127,Santa Cruz Del Norte,CU,23.15,-81.92,78.8,88,75,11.41,broken clouds
128,Yorosso,ML,12.35,-4.78,83.19,33,21,7.07,few clouds
129,Tofte,NO,59.54,10.56,55.99,76,100,9.17,overcast clouds
130,Bud,US,39.45,-86.18,64.4,45,1,5.82,clear sky
131,Flin Flon,CA,54.77,-101.86,14.0,85,90,11.41,light snow
132,Bol,TD,13.46,14.71,80.89,41,100,16.46,overcast clouds
133,Paoua,CF,7.24,16.44,72.54,65,92,2.26,overcast clouds
134,Poum,NC,-20.23,164.02,77.4,77,4,5.01,clear sky
135,Mar Del Plata,AR,-38.0,-57.56,69.8,49,40,11.41,scattered clouds
136,Mandurah,AU,-32.55,115.7,62.01,62,76,11.86,broken clouds
137,Tuatapere,NZ,-46.13,167.68,55.99,76,1,4.0,clear sky
138,Itoman,JP,26.12,127.67,77.0,100,75,11.41,broken clouds
139,Atherton,GB,53.52,-2.49,51.01,91,99,2.13,overcast clouds
140,Port Hardy,CA,50.7,-127.42,50.0,76,75,6.93,broken clouds
141,Avanigadda,IN,16.02,80.92,74.88,93,0,5.77,light rain
142,Sangar,RU,63.92,127.47,0.79,93,100,1.28,overcast clouds
143,Constantine,DZ,36.37,6.61,57.2,58,0,2.24,clear sky
144,Saskylakh,RU,71.92,114.08,8.74,94,100,8.86,overcast clouds
145,Nome,US,64.5,-165.41,39.0,93,90,27.51,light rain
146,Challans,FR,46.84,-1.87,48.2,81,0,9.17,clear sky
