City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
73,Ambilobe,MG,72.73,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
79,Nueve De Julio,AR,71.01,few clouds,-35.44,-60.88,Grand Hotel Libertad - GHL
80,Buchanan,LR,79.79,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
81,Samarai,PG,80.46,light rain,-10.62,150.67,Nuli Sapi
85,Gizo,SB,84.83,overcast clouds,-8.1,156.84,Imagination Island
86,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
88,Bilma,NE,73.29,few clouds,18.69,12.92,Expeditions Ténére voyages
90,Nanakuli,US,84.2,clear sky,21.39,-158.15,Camp Pālehua
91,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
92,Isangel,VU,86.0,few clouds,-19.55,169.27,Volcano Sea View Tree House
93,Cockburn Town,TC,77.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
95,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
97,Saint-Georges,GD,84.2,few clouds,12.06,-61.75,Siesta Hotel
99,Surt,LY,70.25,broken clouds,31.21,16.59,City Hotel
101,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.08,Scoop Guest House
104,Saint George,US,84.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
105,Nishihara,JP,77.0,mist,26.18,127.76,Minshuku Agaihama
114,Karratha,AU,74.91,light rain,-20.74,116.85,ibis Styles Karratha
116,Kudahuvadhoo,MV,82.58,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
117,Saint-Philippe,RE,71.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
119,Puerto Ayora,EC,75.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
121,Socorro,US,84.2,clear sky,31.65,-106.3,guarderia imss papalote
127,Santa Cruz Del Norte,CU,78.8,broken clouds,23.15,-81.92,Rioger Art
128,Yorosso,ML,83.19,few clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
132,Bol,TD,80.89,overcast clouds,13.46,14.71,Hotel 3 Etoiles
133,Paoua,CF,72.54,overcast clouds,7.24,16.44,Quartier Paoua Elien
134,Poum,NC,77.4,clear sky,-20.23,164.02,Gîte kajeon
138,Itoman,JP,77.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
141,Avanigadda,IN,74.88,light rain,16.02,80.92,AP Camping
148,Sokoto,NG,82.2,few clouds,13.06,5.24,RG Palace
154,Fare,PF,80.47,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
160,Saint-Paul,RE,71.6,overcast clouds,-21.01,55.27,Boucan Canot
162,Jacareacanga,BR,81.28,broken clouds,-6.22,-57.75,Casa do Ian😎
167,Kirakira,SB,85.62,overcast clouds,-10.45,161.92,SanBiz Lodge
168,Bauta,CU,78.8,broken clouds,22.98,-82.55,Piscina La Pérgola
172,Clearlake,US,82.99,clear sky,38.96,-122.63,Americas Best Value Inn & Suites Clearlake Wine Country
175,Faanui,PF,79.59,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
177,Zwedru,LR,73.24,light rain,6.07,-8.13,Elijah Worjloh
178,Butaritari,KI,82.06,scattered clouds,3.07,172.79,Isles Sunset Lodge
179,Mareeba,AU,82.99,few clouds,-17.0,145.43,Trinity Plains Tourist Park
182,Moron,AR,71.01,clear sky,-34.65,-58.62,Hotel Morón
183,Ukiah,US,84.2,clear sky,39.15,-123.21,Hampton Inn Ukiah
185,Sokoni,TZ,73.4,few clouds,-6.43,39.55,Ujamaa Beach Resort
186,Ambunti,PG,73.56,moderate rain,-4.24,142.84,Ambunti Lodge
187,Sao Joao Da Barra,BR,75.2,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
191,Banjar,ID,76.59,clear sky,-8.19,114.97,The Hamsa Resort
194,Comodoro Rivadavia,AR,71.6,broken clouds,-45.87,-67.5,Austral Hotel
197,Kapaa,US,82.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
200,Matamoros,MX,82.4,few clouds,25.53,-103.25,Recreativo Sabdy Briseidy
203,Marsh Harbour,BS,78.08,light rain,26.54,-77.06,Abaco Beach Resort
204,Virar,IN,78.8,smoke,19.47,72.8,Go Firne
206,Cayenne,GF,77.0,moderate rain,4.93,-52.33,Hôtel Le Dronmi
208,Bengkulu,ID,76.03,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
210,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
211,Praya,CV,77.0,scattered clouds,14.92,-23.51,LT Aparthotel
214,Mattru,SL,75.38,scattered clouds,7.62,-11.83,Boima Gbondo's Compound
215,Urucara,BR,87.13,broken clouds,-2.54,-57.76,Pousada Maria Bonita
216,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
217,Lamu,KE,78.8,haze,-2.27,40.9,Lamu House
218,Santiago,CL,80.01,clear sky,-33.46,-70.65,Hotel Panamericano
223,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
228,Ca Mau,VN,75.02,broken clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
234,Sola,VU,87.8,broken clouds,-13.88,167.55,Ulkel Guest House
235,Naze,JP,77.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
238,Gorom-Gorom,BF,86.25,overcast clouds,14.44,-0.24,Mairie de Rambo
239,Abu Dhabi,AE,75.2,clear sky,24.47,54.37,Beach Rotana
240,Bandarbeyla,SO,73.76,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
242,Dong Hoi,VN,73.6,light rain,17.48,106.6,Nam Long Hotel
256,Puerto El Triunfo,SV,78.8,scattered clouds,13.28,-88.55,Hotel Jardin
257,Sambava,MG,73.96,light rain,-14.27,50.17,Melrose
263,San Jose,US,81.0,scattered clouds,37.34,-121.89,The Westin San Jose
266,Dingle,PH,74.39,scattered clouds,11.0,122.67,SEGAYA PROPERTY
273,Barra Do Corda,BR,79.16,moderate rain,-5.5,-45.25,Belchior Palace Hotel
