City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,East London,ZA,2020-11-04 01:13:12,-33.02,27.91,67.62,87,64,0.92
123,Priiskovyy,RU,2020-11-04 01:13:12,51.93,116.63,20.91,88,0,2.86
124,Barrow,US,2020-11-04 01:13:12,71.29,-156.79,10.4,85,90,10.29
125,Humberto De Campos,BR,2020-11-04 01:13:13,-2.6,-43.46,78.46,84,55,5.41
126,Avarua,CK,2020-11-04 01:13:13,-21.21,-159.78,75.2,83,100,23.17
127,Saint-Philippe,RE,2020-11-04 01:13:00,-21.36,55.77,69.8,52,40,6.93
128,Vila,PT,2020-11-04 01:13:13,42.03,-8.16,42.01,84,0,5.01
129,Westport,US,2020-11-04 01:09:42,41.14,-73.36,43.0,48,1,4.7
130,Lasa,IT,2020-11-04 01:13:13,46.62,10.7,50.0,100,40,3.36
131,Pacifica,US,2020-11-04 01:13:13,37.61,-122.49,60.01,71,20,18.34
132,Alice Springs,AU,2020-11-04 01:08:55,-23.7,133.88,96.8,7,0,12.75
133,Iqaluit,CA,2020-11-04 01:13:14,63.75,-68.51,15.8,78,75,29.97
134,Saskylakh,RU,2020-11-04 01:13:14,71.92,114.08,-5.08,91,96,2.77
135,Vardo,NO,2020-11-04 01:13:14,70.37,31.11,42.87,69,6,22.3
136,Cape Town,ZA,2020-11-04 01:12:01,-33.93,18.42,68.0,68,0,9.17
137,Port Elizabeth,ZA,2020-11-04 01:11:48,-33.92,25.57,66.2,88,75,4.7
138,Nikolskoye,RU,2020-11-04 01:13:14,59.7,30.79,48.2,87,90,8.95
139,Bredasdorp,ZA,2020-11-04 01:13:14,-34.53,20.04,66.2,93,79,4.7
140,Tuatapere,NZ,2020-11-04 01:13:15,-46.13,167.68,68.63,47,0,2.77
141,Jaszbereny,HU,2020-11-04 01:13:15,47.5,19.92,50.0,99,85,2.93
142,Ola,RU,2020-11-04 01:13:15,59.58,151.28,34.59,94,100,7.02
143,Lagoa,PT,2020-11-04 01:13:15,39.05,-27.98,61.21,70,100,18.63
144,Dabakala,CI,2020-11-04 01:13:15,8.37,-4.43,75.9,74,0,1.79
145,Lahij,YE,2020-11-04 01:13:15,13.17,44.58,69.73,85,17,3.18
146,Ginda,IN,2020-11-04 01:13:15,30.69,78.49,46.81,53,0,6.08
147,Ketchikan,US,2020-11-04 01:13:15,55.34,-131.65,44.6,65,20,9.17
148,Esperance,AU,2020-11-04 01:11:05,-33.87,121.9,59.0,77,90,13.87
149,Lorengau,PG,2020-11-04 01:13:16,-2.02,147.27,87.4,63,75,1.1
150,Balakovo,RU,2020-11-04 01:13:16,52.03,47.8,42.19,70,61,6.53
151,Cidreira,BR,2020-11-04 01:13:16,-30.18,-50.21,61.93,78,0,12.77
152,Viedma,AR,2020-11-04 01:13:16,-40.81,-63.0,72.0,54,100,3.0
153,Qom,IR,2020-11-04 01:13:04,34.64,50.88,53.04,39,77,2.44
154,Tuktoyaktuk,CA,2020-11-04 01:13:16,69.45,-133.04,12.2,85,90,9.17
155,Moron,AR,2020-11-04 01:13:16,-34.65,-58.62,68.0,68,47,4.0
156,Belen,TR,2020-11-04 01:13:16,36.49,36.22,59.0,100,40,5.82
157,Cuajinicuilapa,MX,2020-11-04 01:13:17,16.47,-98.42,75.2,69,2,0.76
158,Guerrero Negro,MX,2020-11-04 01:13:17,27.98,-114.06,70.63,73,0,12.44
159,Linjiang,CN,2020-11-04 01:13:17,41.81,126.91,30.43,69,0,5.39
160,Mahebourg,MU,2020-11-04 01:13:17,-20.41,57.7,68.0,88,75,4.7
161,Tiznit,MA,2020-11-04 01:13:17,29.58,-9.5,64.65,36,98,0.49
162,Caravelas,BR,2020-11-04 01:11:11,-17.71,-39.25,69.35,85,100,4.74
163,Touros,BR,2020-11-04 01:13:18,-5.2,-35.46,80.6,78,40,13.87
164,Colon,PA,2020-11-04 01:09:51,9.36,-79.9,80.6,83,40,5.82
165,Richards Bay,ZA,2020-11-04 01:13:18,-28.78,32.04,71.51,83,0,10.31
166,Maraa,BR,2020-11-04 01:13:18,-1.83,-65.37,76.06,96,99,2.8
167,Ikalamavony,MG,2020-11-04 01:13:18,-21.15,46.58,63.25,77,5,4.34
168,Chongwe,ZM,2020-11-04 01:08:24,-15.33,28.68,69.8,68,40,6.93
169,Norman Wells,CA,2020-11-04 01:13:18,65.28,-126.83,-0.4,84,75,3.36
170,Santa Rosa,PH,2020-11-04 01:13:18,14.31,121.11,82.4,83,75,5.82
171,Biarritz,FR,2020-11-04 01:13:19,43.48,-1.56,48.99,93,100,3.36
172,Kapaa,US,2020-11-04 01:12:51,22.08,-159.32,82.4,78,75,12.75
173,Luderitz,NA,2020-11-04 01:13:19,-26.65,15.16,57.61,91,0,2.19
174,Mabaruma,GY,2020-11-04 01:13:19,8.2,-59.78,74.89,97,100,4.59
175,Whitianga,NZ,2020-11-04 01:13:19,-36.83,175.7,71.01,78,97,5.99
176,Owo,NG,2020-11-04 01:13:19,7.2,5.59,73.24,94,100,2.33
177,Lihula,EE,2020-11-04 01:13:19,58.68,23.85,48.99,83,4,8.01
178,Clyde River,CA,2020-11-04 01:13:20,70.47,-68.59,10.4,92,90,29.97
179,Salinopolis,BR,2020-11-04 01:13:20,-0.61,-47.36,79.72,85,88,8.21
180,Oksfjord,NO,2020-11-04 01:13:20,70.24,22.35,41.0,64,0,18.34
181,Stendal,DE,2020-11-04 01:13:20,52.6,11.85,48.99,64,98,3.0
182,Lujan,AR,2020-11-04 01:13:20,-34.57,-59.1,66.99,83,12,1.99
183,Lanigan,CA,2020-11-04 01:13:20,51.85,-105.03,41.0,56,47,5.82
184,Nisia Floresta,BR,2020-11-04 01:13:20,-6.09,-35.21,80.6,78,40,11.41
185,Palimbang,PH,2020-11-04 01:13:20,6.21,124.19,85.19,58,79,2.51
186,Yambio,SS,2020-11-04 01:13:21,4.57,28.4,68.95,96,8,2.26
187,Constitucion,CL,2020-11-04 01:13:21,-35.33,-72.42,54.77,73,0,13.38
188,Deming,US,2020-11-04 01:13:21,32.27,-107.76,73.4,20,1,3.36
189,Sorgun,TR,2020-11-04 01:13:21,39.81,35.19,47.37,73,100,3.42
